"OPEID","PELLID","NAME","State",,"Awards","Recipients"
"787000","7870","HILLSBOROUGH COMMUNITY COLLEGE","FL",2004,"14336663.289999999","6591"
"2188900","15463","HOBE SOUND BIBLE COLLEGE","FL",2004,"155062.5","59"
"3564300","35643","HOPE CAREER INSTITUTE","FL",2004,"287329.82000000001","149"
"2279600","16092","HUMANITIES CENTER INSTITUTE OF ALLIED HEALTH SCHOOL OF MASSAGE","FL",2004,"113227.56","69"
"149300","1493","INDIAN RIVER COMMUNITY COLLEGE","FL",2004,"5593018.5300000003","2619"
"2257900","15962","INTERNATIONAL ACADEMY","FL",2004,"409933.66999999998","194"
"3031400","30314","INTERNATIONAL ACADEMY OF DESIGN AND TECHNOLOGY","FL",2004,"5782569","2554"
"3037500","30375","INTERNATIONAL COLLEGE","FL",2004,"1934485","859"
"3411400","34114","INTERNATIONAL TRAINING CAREERS","FL",2004,"1156834","421"
"3627400","36274","JACKSONVILLE BEAUTY INSTITUTE","FL",2004,"300845.28000000003","129"
"149500","1495","JACKSONVILLE UNIVERSITY","FL",2004,"1846783.3700000001","745"
"149700","1497","JONES COLLEGE","FL",2004,"1873726","798"
"3123900","31239","KEISER CAREER COLLEGE","FL",2004,"2146217","992"
"2151900","15159","KEISER COLLEGE","FL",2004,"14098188","5536"
"2325100","15191","KEY COLLEGE","FL",2004,"266107.07000000001","122"
"2573200","17272","LA BELLE BEAUTY ACADEMY","FL",2004,"976052.60999999999","417"
"2287100","14746","LA BELLE BEAUTY SCHOOL","FL",2004,"1390313.6100000001","579"
"150100","1501","LAKE CITY COMMUNITY COLLEGE","FL",2004,"2810099","1230"
"2228300","13000","LAKE TECHNICAL CENTER","FL",2004,"336662.5","158"
"150200","1502","LAKE-SUMTER COMMUNITY COLLEGE","FL",2004,"1940462.76","943"
"3158300","31583","LEE COUNTY HIGH TECH CENTER NORTH","FL",2004,"152161","80"
"755800","7558","LEE COUNTY HIGH TECHNICAL CENTER CENTRAL","FL",2004,"309333","137"
"558600","5586","LINDSEY HOPKINS TECHNICAL EDUCATION CENTER","FL",2004,"290563.54999999999","135"
"558500","13997","LIVELY TECHNICAL CENTER","FL",2004,"556044.89000000001","352"
"1016100","14146","LORAINE'S ACADEMY","FL",2004,"312477","156"
"1323400","13234","LORENZO WALKER INSTITUTE OF TECHNOLOGY","FL",2004,"358721.60999999999","160"
"150500","1505","LYNN UNIVERSITY","FL",2004,"951942","342"
"150400","1504","MANATEE COMMUNITY COLLEGE","FL",2004,"8482573.0700000003","3776"
"561200","15496","MANATEE TECHNICAL INSTITUTE","FL",2004,"706548.04000000004","364"
"2148300","15110","MANHATTAN BEAUTY SCHOOL - SOUTH","FL",2004,"1417300","544"
"2156300","15039","MARGATE SCHOOL OF BEAUTY","FL",2004,"1761398.52","945"
"3103900","31039","MARION COUNTY COMMUNITY TECHNICAL  & ADULT EDUCATION CENTER","FL",2004,"307968.53999999998","130"
"2186400","15406","MELBOURNE BEAUTY SCHOOL","FL",2004,"59269.330000000002","52"
"3099600","30996","MERCY HOSPITAL SCHOOL OF PRACTICAL NURSING","FL",2004,"93368.559999999998","41"
"3125600","31256","MIAMI AD SCHOOL","FL",2004,"101199","40"
"887800","8878","MIAMI INTERNATIONAL UNIVERSITY OF ART & DESIGN","FL",2004,"2088490.75","860"
"2316200","16400","MIAMI LAKES EDUCATIONAL CENTER","FL",2004,"493991.25","265"
"150600","1506","MIAMI-DADE COLLEGE","FL",2004,"91040545.5","36150"
"2501500","16875","MID FLORIDA TECH","FL",2004,"251968.01999999999","165"
"3035900","30359","NATIONAL AVIATION ACADEMY OF MISSISSIPPI","FL",2004,"701074.67000000004","250"
"2121800","14560","NATIONAL SCHOOL OF TECHNOLOGY","FL",2004,"4879185","2547"
"3003200","30032","NATIONAL SCHOOL OF TECHNOLOGY","FL",2004,"2772390","1309"
"3433400","34334","NEW CONCEPT MASSAGE AND BEAUTY SCHOOL","FL",2004,"135258","62"
"2280800","16095","NEW ENGLAND INSTITUTE OF TECHNOLOGY AT PALM BEACH","FL",2004,"2668500","1134"
"3224300","32243","NEW PROFESSIONS TECHNICAL INSTITUTE","FL",2004,"1772137.6899999999","774"
"2149900","14748","NORMANDY BEAUTY SCHOOL OF JACKSONVILLE","FL",2004,"181651.03","103"
"150800","1508","NORTH FLORIDA COMMUNITY COLLEGE","FL",2004,"1377384.3300000001","595"
"3434300","34343","NORTH FLORIDA INSTITUTE","FL",2004,"1262024.9399999999","578"
"3089200","30892","NOUVELLE INSTITUTE","FL",2004,"1722025","788"
"150900","1509","NOVA SOUTHEASTERN UNIVERSITY-DAVIE","FL",2004,"5284885.1200000001","2106"
"3230300","32303","OKALOOSA APPLIED TECHNOLOGY CENTER","FL",2004,"286667.53000000003","178"
"151000","1510","OKALOOSA WALTON COLLEGE","FL",2004,"3619860","1678"
"2513200","14719","ORANGE TECHNICAL EDUCATION CENTERS - ORLANDO TECHNICAL","FL",2004,"345303.08000000002","182"
"2321200","15036","ORANGE TECHNICAL EDUCATION CENTERS-WESTSIDE TECH","FL",2004,"332604.33000000002","178"
"884900","8849","PALM BEACH ATLANTIC UNIVERSITY","FL",2004,"2219485","862"
"151200","1512","PALM BEACH COMMUNITY COLLEGE","FL",2004,"10640609.76","4812"
"1065200","10652","PASCO HERNANDO COMMUNITY COLLEGE - WEST CAMPUS","FL",2004,"6513283.9500000002","3229"
"151300","1513","PENSACOLA JUNIOR COLLEGE","FL",2004,"8720430.6899999995","3940"
"560500","5605","PINELLAS TECHNICAL EDUCATION CENTER - CLEARWATER CAMPUS","FL",2004,"339334.96000000002","214"
"151400","1514","POLK COMMUNITY COLLEGE","FL",2004,"3562437","1809"
"3114700","31147","PRAXIS INSTITUTE","FL",2004,"739999.23999999999","384"
"3348400","33484","PROFESSIONAL TRAINING CENTERS","FL",2004,"2203587.7000000002","686"
"2554200","17198","RADFORD LOCKLIN TECHNICAL CENTER","FL",2004,"124734","91"
"758600","7586","REMINGTON COLLEGE - TAMPA CAMPUS","FL",2004,"7862931","3393"
"2511700","15780","RIDGE TECHNICAL CENTER","FL",2004,"235516.53","135"
"1257400","12574","RINGLING SCHOOL OF ART & DESIGN","FL",2004,"737715","265"
"910400","9104","RIVERSIDE HAIRSTYLING ACADEMY","FL",2004,"166410.85000000001","93"
"2524200","16919","ROBERT MORGAN EDUCATIONAL CENTER","FL",2004,"700213","358"
"151500","1515","ROLLINS COLLEGE","FL",2004,"1545750","626"
"152300","1523","SAINT JOHNS RIVER COMMUNITY COLLEGE","FL",2004,"3254008.0699999998","1594"
"152600","1526","SAINT LEO UNIVERSITY","FL",2004,"7858302","3783"
"3459400","34594","SAINT PETERSBURG THEOLOGICAL SEMINARY","FL",2004,"29050","13"
"146800","1468","SAINT THOMAS UNIVERSITY","FL",2004,"1610992","602"
"2616400","26164","SANFORD-BROWN INSTITUTE","FL",2004,"3308406.9100000001","1540"
"151900","1519","SANTA FE COMMUNITY COLLEGE","FL",2004,"9594675.4000000004","4155"
"560700","13689","SARASOTA COUNTY TECHNICAL INSTITUTE","FL",2004,"206875.89000000001","91"
"2517100","16937","SARASOTA SCHOOL OF MASSAGE THERAPY","FL",2004,"99594.339999999997","66"
"2314100","23141","SCHILLER INTERNATIONAL UNIVERSITY","FL",2004,"119088","51"
"3706300","37063","SCHOOL OF HEALTH CAREERS (THE)","FL",2004,"154378.01000000001","70"
"152000","1520","SEMINOLE COMMUNITY COLLEGE","FL",2004,"8931481","4056"
"990200","9902","SHERIDAN TECHNICAL CENTER","FL",2004,"766858","344"
"152200","1522","SOUTH FLORIDA COMMUNITY COLLEGE","FL",2004,"2201328.0499999998","984"
"3661400","36614","SOUTH FLORIDA INSTITUTE OF TECHNOLOGY","FL",2004,"244300","84"
"152100","1521","SOUTHEASTERN COLLEGE OF THE ASSEMBLIES OF GOD","FL",2004,"1584803","656"
"3553300","35533","SOUTHEASTERN SCHOOL OF NEUROMUSCULAR AND MASSAGE THERAPY JACKSONVILLE","FL",2004,"42215","38"
"2278800","16068","SOUTHWEST FLORIDA COLLEGE","FL",2004,"4948089","2122"
"2189900","16421","SPURGEON BAPTIST BIBLE COLLEGE","FL",2004,"30406","12"
"807500","8075","ST. JOHN VIANNEY COLLEGE SEMINARY","FL",2004,"45450","12"
