"PELLID","Institution","State","Recipients","Awards"
"4713","Three Rivers Community College","MO","1360","2827077.0699999998"
"16341","Tri County Technical School","MO","76","153234"
"2495","Truman State University","MO","727","1599115.8300000001"
"2516","University Of Missouri - Columbia","MO","3005","6439657.4800000004"
"2518","University Of Missouri - Kansas City","MO","1650","3753523.4300000002"
"2517","University Of Missouri - Rolla","MO","894","2074533"
"2519","University Of Missouri - St Louis","MO","2699","5659431.6500000004"
"15506","Vatterott College","MO","3801","8565711"
"14434","Warrensburg Area Vocational Technical School","MO","27","68657"
"2520","Washington University","MO","544","1202465.78"
"14833","Waynesville Technical Academy","MO","31","87887"
"2521","Webster University","MO","863","1774846.75"
"2522","Wentworth Military Academy","MO","130","297223"
"2523","Westminster College","MO","156","372451"
"2524","William Jewell College","MO","245","534657"
"2525","William Woods University","MO","269","548636"
"15746","Northern Marianas College","MP","566","1459992"
"34643","Academy Of Hair Design","MS","74","143006.92000000001"
"14397","Academy Of Hair Design #1","MS","208","406604"
"15779","Academy Of Hair Design #4","MS","70","144829"
"22516","Academy Of Hair Design #6 (The)","MS","144","313161"
"30015","Academy Of Hair Design #7 (The)","MS","26","52436"
"2396","Alcorn State University","MS","2032","5886767.6500000004"
"2397","Belhaven College","MS","786","1879154"
"35253","Blue Cliff College","MS","81","103450.86"
"2398","Blue Mountain College","MS","220","479512"
"13902","Chris Beauty College","MS","200","376508"
"2401","Coahoma Community College","MS","1500","4142128.9500000002"
"2402","Copiah Lincoln Community College","MS","1831","3956412.3500000001"
"16838","Creation College Of Cosmetology","MS","101","201384.70999999999"
"14335","Delta Beauty College","MS","198","405692"
"2403","Delta State University","MS","1338","3498463.71"
"2404","East Central Community College","MS","1497","3556602"
"2405","East Mississippi Community College","MS","2322","5550498"
"30040","Final Touch Beauty School","MS","96","196150"
"15898","Foster'S Cosmetology College","MS","47","87435"
"17126","Gibsons Barber & Beauty College","MS","49","121375"
"2407","Hinds Community College","MS","5731","14048737.75"
"2408","Holmes Community College","MS","2131","5091843.3700000001"
"16727","Ics, The Wright Beauty College","MS","40","91160"
"2409","Itawamba Community College","MS","2388","5264014"
"25860","J & J Hair Design College","MS","94","240243.57999999999"
"2410","Jackson State University","MS","4519","13042748.039999999"
"2411","Jones County Junior College","MS","2868","6909597.3700000001"
"16788","Magnolia Bible College","MS","16","27375"
"16424","Magnolia College Of Cosmetology","MS","113","234867.51000000001"
"2412","Mary Holmes College","MS","327","823475.14000000001"
"2413","Meridian Community College","MS","2068","4652541"
"2414","Millsaps College","MS","298","719945"
