"PELLID","Institution","City","State","Recipients","Awards"
"2557","Mid-Plains Community College","North Platte","NE","656","1199072"
"12976","Nebraska Christian College","Norfolk","NE","64","123687"
"7358","Nebraska College of Technical Agriculture","Curtis","NE","109","214810"
"15339","Nebraska Indian Community College","Macy","NE","59","62422"
"9937","Nebraska Methodist College of Nursing & Allied Health","Omaha","NE","138","264736"
"2555","Nebraska Wesleyan University","Lincoln","NE","413","781348"
"2556","Northeast Community College","Norfolk","NE","948","1664074.96"
"2559","Peru State College","Peru","NE","428","783894"
"7591","Southeast Community College","Lincoln","NE","1938","2573940.1099999999"
"2563","Union College","Lincoln","NE","261","512456.92999999999"
"2565","University of Nebraska","Lincoln","NE","3465","6077088.9100000001"
"2551","University of Nebraska - Kearney","Kearney","NE","1745","3026634.98"
"2554","University Of Nebraska - Omaha","Omaha","NE","2349","3989767.79"
"6895","University of Nebraska Medical Center","Omaha","NE","238","436890"
"2566","Wayne State College","Wayne","NE","1028","1928314.74"
"2560","Western Nebraska Community College","Scottsbluff","NE","665","1153476.24"
"2567","York College","York","NE","228","430891"
"2572","Colby Sawyer College","New London","NH","183","330766"
"31013","College for Lifelong Learning","Concord","NH","665","902217.33999999997"
"4731","Daniel Webster College","Nashua","NH","172","286883"
"2573","Dartmouth College","Hanover","NH","442","800072"
"2575","Franklin Pierce College","Rindge","NH","712","1287395.8600000001"
"2590","Keene State College","Keene","NH","773","1371747"
"2579","New England College","Henniker","NH","187","360338"
"2580","New Hampshire College","Manchester","NH","691","872557"
"2582","New Hampshire Community Technical College at Manchester/Stratham","Manchester","NH","588","883267"
"5291","New Hampshire Technical College at Berlin/Laconia","Berlin","NH","491","739981"
"9236","New Hampshire Technical College at Nashua/Claremont","Nashua","NH","447","699479.31999999995"
"2581","New Hampshire Technical Institute","Concord","NH","572","912322"
"2584","Notre Dame College","Manchester","NH","189","342231"
"2591","Plymouth State College of the University System of New Hampshire","Plymouth","NH","853","1441473.1299999999"
"2586","Rivier College","Nashua","NH","302","492787"
"2587","Saint Anselm College","Manchester","NH","290","512618.22999999998"
"15016","Saint Joseph  School of Practical Nursing","Nashua","NH","36","65121"
"33053","Second Start","Concord","NH","29","62030"
"30431","Thomas More College of Arts","Merrimack","NH","22","52025"
"2589","University of New Hampshire","Durham","NH","1856","3325552.0299999998"
"4733","White Pines College","Chester","NH","35","65755"
"2596","Atlantic Community College","Mays Landing","NJ","1639","2737154.77"
"13865","Atlantic County Vocational Technical School","Mays Landing","NJ","15","26123"
"4736","Bergen Community College","Paramus","NJ","2018","3712735.54"
"16349","Bergen County Technical Schools","Hackensack","NJ","39","62618"
"3972","Beth Medrash Govoha of America","Lakewood","NJ","774","1977295"
"2597","Bloomfield College","Bloomfield","NJ","1050","2225186"
"8404","Brookdale Community College","Lincroft","NJ","1841","3128899.8100000001"
"7730","Burlington County College - Pemberton Campus","Pemberton","NJ","1127","1676010.4099999999"
"2598","Caldwell College","Caldwell","NJ","345","638527"
"6865","Camden County College","Blackwood","NJ","2295","4239929.8499999996"
"31083","Camden County Vocational & Technical Schools","Sicklerville","NJ","145","219772.42000000001"
"15118","Cape May County Technical School District","Cape May Court House","NJ","17","42650"
"2599","Centenary College","Hackettstown","NJ","235","469649.5"
"6410","Charles E Gregory School of Nursing (The)","Old Bridge","NJ","33","64191"
"14712","Christ Hospital School of Nurse","Jersey City","NJ","39","52783"
"2642","COLLEGE OF NEW JERSEY (THE)","Ewing","NJ","908","1727873.49"
"2600","College of Saint Elizabeth","Morristown","NJ","189","386425.71000000002"
"7106","County College of Morris","Randolph","NJ","769","1293494"
"2601","Cumberland County College","Vineland","NJ","847","1565892.6899999999"
"2603","Drew University","Madison","NJ","249","522001.5"
"7107","Essex County College","Newark","NJ","3172","6298311.5"
"2607","Fairleigh Dickinson University","Teaneck","NJ","1248","2517975.1600000001"
"2610","Felician College","Lodi","NJ","418","749571.47999999998"
"2608","Georgian Court College","Lakewood","NJ","426","879395"
"6901","Gloucester County College","Sewell","NJ","995","1641655.6399999999"
"15455","Gloucester County Vocational Technical School District","Sewell","NJ","26","56716"
"6417","Holy Name Hospital School of Nursing","Teaneck","NJ","28","58054"
"12954","Hudson County Community College","Jersey City","NJ","2696","5447600.3099999996"
"2622","Kean University","Union","NJ","2476","5144062.0099999998"
"2641","Mercer County Community College","Trenton","NJ","1344","2330203.6800000002"
"2615","Middlesex County College","Edison","NJ","2242","3922564"
"16753","Middlesex County Vocational & Technical High Schools","East Brunswick","NJ","70","122558.75"
"5399","MONMOUTH COUNTY VOCATIONAL SCHOOL DISTRICT","COLTS NECK","NJ","46","72850.360000000001"
"2616","Monmouth University","West Long Branch","NJ","1019","1971789.6499999999"
"2617","Montclair State University","Upper Montclair","NJ","2580","5316696.04"
"6420","MOUNTAINSIDE HOSPITAL SCHOOL OF NURSING","Montclair","NJ","36","64967"
"6421","MRMC-Schools of Nursing, Medical Imaging & Therapeutic Sciences","Plainfield","NJ","89","127314"
"34245","New Community Workforce Development Center","Newark","NJ","100","134481"
"2613","New Jersey City University","Jersey City","NJ","2302","4880580.96"
