"OPEID","Name","State","Type & Control","Recips","Awards"
"26167","LE CORDON BLEU COLLEGE OF CULINARY ARTS","AZ","Proprietary 4 Year","1532","6756424"
"21923","MARICOPA BEAUTY COLLEGE","AZ","Proprietary 2 Year","103","450676"
"1077","MESA COMMUNITY COLLEGE","AZ","Public 2 Year","8698","26160381"
"41388","MODERN TECHNIQUES BEAUTY COLLEGE","AZ","Proprietary 2 Year","35","129355"
"11864","MOHAVE COMMUNITY COLLEGE","AZ","Public 2 Year","3887","11615645"
"38133","NORTHCENTRAL UNIVERSITY","AZ","Proprietary 2 Year","36","86021"
"1082","NORTHERN ARIZONA UNIVERSITY","AZ","Public 4 Year","6596","25942528"
"11862","NORTHLAND PIONEER COLLEGE","AZ","Public 2 Year","1273","3403141"
"26236","PARADISE VALLEY COMMUNITY COLLEGE","AZ","Public 2 Year","2170","6526611"
"1078","PHOENIX COLLEGE","AZ","Public 2 Year","4709","13960508"
"7266","PIMA COUNTY COMMUNITY COLLEGE","AZ","Public 2 Year","12200","39200531"
"22171","PIMA MEDICAL INSTITUTE","AZ","Proprietary 2 Year","7545","28311414"
"20653","PRESCOTT COLLEGE","AZ","Private 4 Year","381","1241375"
"21775","RIO SALADO COMMUNITY COLLEGE","AZ","Public 2 Year","7727","18189452"
"21138","ROBERTO-VENN SCHOOL OF LUTHIERY","AZ","Proprietary 2 Year","26","85264"
"30050","SAFFORD COLLEGE OF BEAUTY CULTURE","AZ","Proprietary 2 Year","70","398519"
"8304","SCOTTSDALE COMMUNITY COLLEGE","AZ","Public 2 Year","2115","6557956"
"21466","SOUTH MOUNTAIN COMMUNITY COLLEGE","AZ","Public 2 Year","2335","7440063"
"35933","SOUTHWEST INSTITUTE OF HEALING ARTS","AZ","Proprietary 2 Year","233","804216"
"7113","SOUTHWESTERN COLLEGE","AZ","Private 4 Year","166","542020"
"41529","STUDIO ACADEMY OF BEAUTY (THE)","AZ","Proprietary 2 Year","90","373554"
"11689","THE REFRIGERATION SCHOOL","AZ","Proprietary 2 Year","527","1996909"
"37844","TOHONO O'ODHAM COMMUNITY COLLEGE","AZ","Public 2 Year","62","187763"
"25619","TONI AND GUY HAIRDRESSING ACADEMY","AZ","Proprietary 2 Year","170","720401"
"4467","TUCSON COLLEGE","AZ","Proprietary 2 Year","677","2250243"
"40593","TUCSON COLLEGE OF BEAUTY","AZ","Proprietary 2 Year","81","350454"
"38143","TURNING POINT BEAUTY COLLEGE","AZ","Proprietary 2 Year","73","288756"
"41392","UNIVERSAL BARBER COLLEGE","AZ","Proprietary 2 Year","34","142464"
"21005","UNIVERSAL TECHNICAL INSTITUTE","AZ","Proprietary 2 Year","7194","33999978"
"8221","UNIVERSAL TECHNICAL INSTITUTE","AZ","Proprietary 2 Year","7599","34442227"
"25590","UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY","AZ","Proprietary 4 Year","481","1898810"
"1083","UNIVERSITY OF ARIZONA (THE)","AZ","Public 4 Year","8744","35729739"
"20988","UNIVERSITY OF PHOENIX","AZ","Proprietary 4 Year","304583","1042372700"
"21715","WESTERN INTERNATIONAL UNIVERSITY","AZ","Proprietary 4 Year","1016","2750796"
"1079","YAVAPAI COLLEGE","AZ","Public 2 Year","2320","6880694"
"31505","A - TECHNICAL COLLEGE","CA","Proprietary 2 Year","84","333170"
"7531","ACADEMY OF ART UNIVERSITY","CA","Proprietary 4 Year","5383","15486441"
"41093","ACADEMY OF BARBERING ARTS (THE)","CA","Proprietary 2 Year","199","831673"
"41324","ACADEMY OF ESTHETICS AND COSMETOLOGY","CA","Proprietary 2 Year","23","107997"
"23424","ACADEMY OF RADIO & TV BROADCASTING","CA","Proprietary 2 Year","167","644087"
"33274","ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE, BERKELEY","CA","Private 4 Year","1","2500"
"30199","ADELANTE CAREER INSTITUTE","CA","Proprietary 2 Year","87","325937"
"25204","ADRIANS BEAUTY COLLEGE OF TURLOCK","CA","Proprietary 2 Year","178","679594"
"37363","ADVANCE BEAUTY COLLEGE","CA","Proprietary 2 Year","413","1546739"
"37863","ADVANCED COLLEGE","CA","Proprietary 2 Year","433","1678206"
"35324","ADVANCED TRAINING ASSOCIATES","CA","Proprietary 2 Year","52","215957"
"22586","ALAMEDA BEAUTY COLLEGE","CA","Proprietary 2 Year","222","991113"
"22823","ALHAMBRA BEAUTY COLLEGE","CA","Proprietary 2 Year","206","813152"
"1111","ALLAN HANCOCK COLLEGE","CA","Public 2 Year","2022","6747187"
"11117","ALLIANT INTERNATIONAL UNIVERSITY","CA","Private 4 Year","84","317908"
"39696","AMERICAN AUTO INSTITUTE","CA","Proprietary 2 Year","211","773374"
"13074","AMERICAN BEAUTY COLLEGE","CA","Proprietary 2 Year","55","191250"
"22418","AMERICAN CAREER COLLEGE","CA","Proprietary 2 Year","4774","18348161"
"39713","AMERICAN CAREER COLLEGE","CA","Proprietary 2 Year","1671","5933554"
"31444","AMERICAN COLLEGE OF HEALTHCARE","CA","Proprietary 2 Year","233","885888"
"39623","AMERICAN INSTITUTE OF MASSAGE THERAPY","CA","Proprietary 2 Year","9","31050"
"2741","AMERICAN JEWISH UNIVERSITY","CA","Private 4 Year","40","156092"
"40713","AMERICAN PACIFIC COLLEGE","CA","Proprietary 2 Year","7","12040"
"1232","AMERICAN RIVER COLLEGE","CA","Public 2 Year","11106","37283548"
"32253","AMERICAN UNIVERSITY OF HEALTH SCIENCES","CA","Proprietary 4 Year","79","270188"
"41604","ANGELES COLLEGE OF NURSING","CA","Proprietary 2 Year","33","146745"
"41644","ANGELES INSTITUTE","CA","Proprietary 2 Year","27","62004"
"1113","ANTELOPE VALLEY COLLEGE","CA","Public 2 Year","7187","21439682"
"1116","ART CENTER COLLEGE OF DESIGN","CA","Private 4 Year","730","3534465"
"7236","ART INSTITUTE OF CALIFORNIA - LOS ANGELES (THE)","CA","Proprietary 4 Year","4509","16631972"
"23276","ART INSTITUTE OF CALIFORNIA - SAN DIEGO","CA","Proprietary 4 Year","2674","10307247"
