"OPEID","PELLID","Name","State","Type & Control","Recipients","Awards"
"2136800","14154","AMERICAN COMMERCIAL COLLEGE","TX","proprietary","220","426011.94"
"2200800","15960","AMERICAN COMMERCIAL COLLEGE","TX","proprietary","221","435629.64000000001"
"3926300","39263","AMESED","TX","proprietary","24","39117"
"3756300","37563","ANAMARC EDUCATIONAL INSTITUTE","TX","proprietary","492","1160656"
"666100","6661","ANGELINA COLLEGE","TX","public 2 year","2310","5409314.1699999999"
"354100","3541","ANGELO STATE UNIVERSITY","TX","public 4 year","2080","5267771"
"2081400","14305","ARLINGTON BAPTIST COLLEGE","TX","private 4 year","72","194832"
"2521200","16944","ARLINGTON CAREER INSTITUTE","TX","proprietary","325","705783"
"3159300","31593","ARLINGTON MEDICAL INSTITUTE","TX","proprietary","39","80879.320000000007"
"2539600","17360","ART INSTITUTE OF DALLAS (THE)","TX","proprietary","605","1345260.21"
"2117100","14771","ART INSTITUTE OF HOUSTON","TX","proprietary","933","2164433.6499999999"
"2596600","25966","ATI CAREER TRAINING CENTER","TX","proprietary","1244","2733509.6800000002"
"2596500","25965","ATI- CAREER TRAINING CENTER","TX","proprietary","824","1495619"
"1248200","12482","ATI TECHNICAL TRAINING CENTER","TX","proprietary","909","1514421.3500000001"
"2188600","14536","AUSTIN BUSINESS COLLEGE","TX","proprietary","348","765285"
"354300","3543","AUSTIN COLLEGE","TX","private 4 year","268","696675"
"1201500","12015","AUSTIN COMMUNITY COLLEGE","TX","public 2 year","7029","13672339.300000001"
"2362800","17322","AUSTIN GRADUATE SCHOOL OF THEOLOGY","TX","private 4 year","12","19598"
"3573300","35733","AVIATION INSTITUTE OF MAINTENANCE","TX","proprietary","92","184539"
"1226800","12268","BALDWIN BEAUTY SCHOOL #5","TX","proprietary","124","330689"
"2331200","16525","BAPTIST MISSIONARY ASSOCIATION THEOLOGICAL SEMINARY","TX","private 4 year","17","28058.5"
"3733300","37333","BAPTIST UNIVERSITY OF THE AMERICAS","TX","private 4 year","70","163873.29999999999"
"354500","3545","BAYLOR UNIVERSITY","TX","private 4 year","2196","5890360.4900000002"
"3541300","35413","BEHOLD? BEAUTY ACADEMY","TX","proprietary","35","92478.830000000002"
"354900","3549","BLINN COLLEGE","TX","public 2 year","3249","7410620.2800000003"
"1298200","12982","BORDER INSTITUTE OF TECHNOLOGY","TX","proprietary","170","259905.60999999999"
"2144800","14986","BRADFORD SCHOOL OF BUSINESS","TX","proprietary","125","328772.75"
"728700","7287","BRAZOSPORT COLLEGE","TX","public 4 year","884","1709223.6299999999"
"2294800","16202","CAPITOL CITY CAREERS","TX","proprietary","142","261958.04000000001"
"2074100","14166","CAPITOL CITY TRADE & TECHNICAL SCHOOL","TX","proprietary","814","1577445.1899999999"
"2572100","17277","CAREER ACADEMY","TX","proprietary","50","92878.190000000002"
"2591900","25919","CAREER CENTERS OF TEXAS - EL PASO, INC.","TX","proprietary","2157","5181040"
"2591100","25911","CAREER POINT INSTITUTE","TX","proprietary","2112","4518796.9500000002"
