"PELLID","OPEID","GAPSID","Name","State","Type & Control","Recipients","Awards"
"25027","2502700","830","ADVANCED CAREER TRAINING","FL","Proprietary","2507","6670862.6699999999"
"16181","2293600","4126","ADVANCED TECHNICAL CENTERS","FL","Private 2 Year","4","8279"
"41359","4135900","6258","ALLIED HEALTH INSTITUTE","FL","Proprietary","202","333307.25"
"34914","3491400","5505","AMERICAN ADVANCED TECHNICIANS INSTITUTE","FL","Proprietary","94","252565"
"37063","3706300","5423","AMERICAN INSTITUTE","FL","Proprietary","674","1829606"
"40165","4016500","5756","AMERICAN INSTITUTE OF BEAUTY","FL","Proprietary","179","389830.64000000001"
"33903","3390300","4953","AMERICARE SCHOOL OF NURSING","FL","Proprietary","476","1172854.03"
"35954","3595400","5071","ANGLEY COLLEGE","FL","Proprietary","296","763720"
"10195","1019500","3307","ART INSTITUTE OF FORT LAUDERDALE (THE)","FL","Proprietary","1722","4620491.04"
"38163","3816300","5589","ARTISTIC NAILS & BEAUTY ACADEMY","FL","Proprietary","262","649097.39000000001"
"30123","3012300","5474","ASM BEAUTY WORLD ACADEMY","FL","Proprietary","98","259738"
"16180","2293200","4125","ATI CAREER TRAINING CENTER","FL","Proprietary","2212","6695575.4800000004"
"15646","2215900","3965","ATI CAREER TRAINING CENTER","FL","Proprietary","611","1793490.79"
"14612","2151100","3829","ATI COLLEGE OF HEALTH","FL","Proprietary","1866","5410237.4400000004"
"12263","1226300","3520","ATLANTIC TECHNICAL CENTER","FL","Public 2 Year","352","987848"
"39413","3941300","5744","AVE MARIA UNIVERSITY","FL","Private 4 Year","335","1149078"
"41194","4119400","5922","AVEDA INSTITUTE - SAINT PETERSBURG","FL","Proprietary","102","286502.29999999999"
"41348","4134800","6214","AVEDA INSTITUTE - TALLAHASSEE","FL","Proprietary","73","209271.48999999999"
"13001","2159600","3848","BAPTIST COLLEGE OF FLORIDA (THE)","FL","Private 4 Year","233","705972"
"1466","146600","1246","BARRY UNIVERSITY","FL","Private 4 Year","2060","6362585.1299999999"
"33733","3373300","5703","BEACON COLLEGE","FL","Private 4 Year","16","59649"
"38014","3801400","5564","BEAUTY INSTITUTE (THE)","FL","Proprietary","109","260935.79999999999"
"16111","2283800","4102","BEAUTY SCHOOLS OF AMERICA","FL","Proprietary","2513","6883927.5499999998"
"14752","3018500","928","BENE'S INTERNATIONAL SCHOOL OF BEAUTY","FL","Proprietary","262","609094"
"1467","146700","69","BETHUNE COOKMAN UNIVERSITY","FL","Private 4 Year","2556","9327131.5"
"15565","2200100","3935","BRADENTON BEAUTY & BARBER ACADEMY","FL","Proprietary","203","589298.90000000002"
"33823","3382300","4950","BRADFORD-UNION AREA CAREERTECHNICAL CENTER","FL","Public 2 year","76","226444.01999999999"
"1470","147000","1249","BREVARD COMMUNITY COLLEGE","FL","Public 2 year","4526","11587518.51"
"1500","150000","1265","BROWARD COLLEGE","FL","Public 4 year","14017","37319705.850000001"
"38425","3842500","5634","CAMBRIDGE INSTITUTE OF ALLIED HEALTH","FL","Proprietary","164","422092.70000000001"
"39063","3906300","5674","CAREER INSTITUTE OF FLORIDA","FL","Proprietary","259","576268.88"
"41459","4145900","6379","CELEBRITY SCHOOL OF BEAUTY","FL","Proprietary","60","153135"
"22455","2245500","744","CENTRAL FLORIDA COLLEGE","FL","Proprietary","665","1814032.3500000001"
"1471","147100","70","CENTRAL FLORIDA COMMUNITY COLLEGE","FL","Public 2 year","2923","7382720"
"34254","3425400","4981","CENTRAL FLORIDA INSTITUTE","FL","Proprietary","599","1689908.8999999999"
"39394","3939400","5718","CENTURA INSTITUTE","FL","Proprietary","189","622291"
"16165","2297000","4134","CHARLOTTE TECHNICAL CENTER","FL","Public 2 Year","98","288678.69"
"1472","147200","1250","CHIPOLA COLLEGE","FL","Public 4 year","827","2467715.2200000002"
"30799","3079900","973","CITY COLLEGE","FL","Private 2 Year","209","562960.31000000006"
"16839","2515400","835","CITY COLLEGE","FL","Private 4 Year","1202","3604121.96"
"15025","147300","1251","CLEARWATER CHRISTIAN COLLEGE","FL","Private 4 Year","218","696434.34999999998"
"30716","3071600","963","COLLEGE OF BUSINESS & TECHNOLOGY","FL","Proprietary","900","2745941.9199999999"
"39853","3985300","5771","COMMERCIAL DIVING ACADEMY","FL","Proprietary","169","291645"
"31086","3108600","4757","COMPU-MED VOCATIONAL CAREERS","FL","Proprietary","749","2609277.0899999999"
"15307","2172700","3875","CONCORDE CAREER INSTITUTE","FL","Proprietary","820","2052316"
"14016","2089600","3714","CONCORDE CAREER INSTITUTE","FL","Proprietary","995","2478939"
"16050","2275100","4081","CONCORDE CAREER INSTITUTE","FL","Proprietary","661","1823566"
"31784","3178400","4854","CORAL RIDGE TRAINING SCHOOL","FL","Proprietary","36","118466"
"16092","2279600","4095","CORTIVA INSTITUTE - FLORIDA","FL","Proprietary","117","257151"
"41350","4135000","6240","COZMO THE SCHOOL","FL","Proprietary","60","168549.37"
"5594","559400","2744","D. G. ERWIN TECHNICAL CENTER","FL","Public 2 Year","734","1923277.54"
"38323","3832300","5588","DADE MEDICAL COLLEGE","FL","Proprietary","774","2559395.77"
"39396","3939600","5727","DAYTONA COLLEGE","FL","Proprietary","84","237180.31"
"1475","147500","1252","DAYTONA STATE COLLEGE","FL","Public 4 year","6672","18073185.760000002"
