"OPE ID","Institution Name","Institution City","Institution State","Institution Type And Control","Total Awards","Total Recipients"
"2158800","DON ROBERTS BEAUTY SCHOOLS","VALPARAISO","IN","Proprietary - 2 Year","127850","30"
"2269300","STEVENSON'S ACADEMY OF HAIR DESIGN","NEW ORLEANS","LA","Proprietary - 2 Year","415814","110"
"2325800","LABARON HAIRDRESSING ACAD-BROCKTON","BROCKTON","MA","Proprietary - 2 Year","104507","44"
"2121100","MIDWEST INSTITUTE","KIRKWOOD","MO","Proprietary - 2 Year","572810","148"
"2172800","DUTCHESS COUNTY BOCES SCH PRAC NURS","POUGHKEEPSIE","NY","Public - 2 Year","254255","99"
"2166400","INSTITUTO DE BANCA Y COMERCIO","RIO PIEDRAS","PR","Proprietary - 2 Year","80996210","20439"
"2098300","WESTERN TECHNICAL COLLEGE","EL PASO","TX","Proprietary - 2 Year","4683412","1285"
"2103500","TENNESSEE COLLEGE OF APPLIED TECHNOLOGY","MURFREESBORO","TN","Public - 2 Year","821412","287"
"2306700","FORT WORTH BEAUTY SCHOOL","FORT WORTH","TX","Proprietary - 2 Year","710925","213"
"2100600","CARRINGTON COLLEGE","PHOENIX","AZ","Proprietary - 4 Year","11791021","3400"
"2103700","CAPRI INSTITUTE OF HAIR DESIGN","PARAMUS","NJ","Proprietary - 2 Year","299819","97"
"2255400","INTERNATIONAL SCHOOL OF COSMETOLOGY","HAWTHORNE","CA","Proprietary - 2 Year","1319668","328"
"2121800","EVEREST INSTITUTE","MIAMI","FL","Proprietary - 2 Year","4251527","1288"
"2104400","SPA TECH INSTITUTE","WESTBROOK","ME","Proprietary - 2 Year","916184","342"
"2302800","MISSISSIPPI COLLEGE OF BEAUTY CULT","LAUREL","MS","Proprietary - 2 Year","197295","53"
"2104000","HARRIS SCHOOL OF BUSINESS","CHERRY HILL","NJ","Proprietary - 2 Year","6317889","1966"
"2163400","NEW YORK CAREER INSTITUTE","NEW YORK","NY","Proprietary - 2 Year","1470373","465"
"1303918","SOUTH UNIVERSITY - THE ART INSTITUTE OF","CHARLOTTE","NC","Proprietary - 4 Year","6949599","1958"
